label,text,title
Great value for the price,"If you want to buy both #57 and #58 cartridges at once, this combo pack is a no brainer, it's nearly 30% cheaper than buying them individually. And of course, you get the bonus photo paper. One previous reviewer mentions these cartridges have lesser capacity than individual #57 and #58, not true at all. These ara the exact same cartridges as the individual packed ones and has the same 17ml capacity. And they provide the same yield, I've used both types.",
"High concept, beautiful writing","Wow. I wasn't expecting it to be this good. Morgan had better keep writing! His character is durable; good for a series. The images are powerful and striking and the ideas are thought-provoking, which is what we want out of sci-fi. The concept of re-sleeving into body after body is deep; who are we, really? I'd say one flaw is too much preoccupation with torture (I skipped those parts), though it is consistent with the idea that [ending life] has become illegal. Lots of depth to other concepts: what do we become when we are rich enough to live for centuries? How would that distort our thought-processes? This novel was a page-turner. I want him to write more so I can turn some more pages.",
What a long drawn out story,"I listened to the audiobook unabridged version. It was over 15 hours long. What a long drawn out story. The subplot of the ""Egyptian boy"" served no purpose other than give the writer an opportunity to give her feelings of the Patriot Act. It is troubling legislation and I am fearful of the abuse that can happen. I think she is a skillful writer who could have gotten more thoughtful attention to the Patriot Act with less rhetoric.I had to force myself to listen to the last quarter of the book to find out ""who dun it"" because at around chapter 35, I no longer cared. There were a lot of characters. I had to make notes to remember who was who. I just can't understand why this book was so wordy-the characters were not that complex (just too many), and didn't require added insight. This is my second V.I. Warshawski novel, and probably my last.",
Great guide for families with parrots or who want parrots.,This book really gives you a good introduction to the various kinds of parrots that are available. It describes their habits and tendencies so that it makes it easier to choose a new parrot or understand your current friend.I would recommend this book to anyone who is looking for their first parrot or for an addition to their family.,
Weird.,"This was hard to figure out. It seemed like such a good idea, but the part that's supposed to hold and stack the space bags is designed very oddly and I wasn't able to use it at all. Waste of money.",
worth every penny,You get what you pay for. These are great knives worth every penny. I bought a cheap wood block set at a big mall store. Forget it! Now I'm proceeding to find GOOD stuff to put in the wood block and these were some of my selections. Excellent in every way.,
Nadie Como Marc!,"For real Latin Music, this has to be my favourite album by Marc Anthony. It's so hard to pick just one favourite track, but if I have to then it must be Si Te Vas. But all the songs on the album are incredible and I'm almost rendered speechless by my enthusiasm. I just can't get enough of that amazing voice or that hot-blooded Salsa beat. Definately ""Nadie Como Marc!"".",
Nice replacement faucet,"I had a different PUR filter faucet for years and I broke it. I replaced it with this one which cost the same and looks pretty similar, however it is a major improvement to the one I have. I love the blinking indicator to tell you how your filter is doing. No more guess work or trying to remember when I put it in. I am sure I put several in too soon, or not soon enough before. This will help save money for sure.",
"Bought it for Vista, it works.","I have a 2 year old Dell Vostro 1000 laptop that was crawling along even with only one program open.I have 32-bit Vista, and read somewhere that this RAM was manufactured with Vista's dumb memory usage limitations in mind (the system says I have 1918 MB of RAM now).I easily removed the old RAM, put in the new RAM, started the computer, and instantly noticed better performance. That's it. Easy.",
I can save you the trouble of watching,"Ready? Imagine Godzilla. You know, he's stomping around Tokyo but then WHOOPS! A building hits him between the legs! He rolls in pain for a little bit. Okay, now imagine umm... let's see what's something cool from the 80s... ok Voltron! This big robot is about to fight someone but instead he uhh... BREAKDANCES! Wow this is wacky stuff right here. Now you don't have to buy this dvd.You might like this DVD if:Getting hit in the balls is super hilarious.Farting is pretty funny.It makes you laugh when a celebrity is referenced in the same skit as an 80's cartoon.",
Return of Saturn: no doubt to be a success,"Excuse the pun in the title, but this CD has everything. From the soft and sad tune of ""The magic is in the make up"" to the rather disturbed and unforgettable quickie ""Staring problem"", you can't miss out on this album. ""Ex- Girlfriend"" kicked of the album with a strong foot, and ""The Simple Things"" followed up in a ginger state. This CD is good for pree teens to 30 year olds. It's nice to know that a band can come out with more than one exellent CD.",
Critics suck...,"It's a real shame we have clowns like Kurt Harding bashing things way beyond their comprehension. Anyone with the the good taste necessary to appreciate this album certainly wouldn't be deterred by some amateur (wannabe) critic's comments on Amazon. Ask any real musician and they'll tell you that the writing, arranging, and performing on this record is first-rate, let alone the stellar improvisation. Aside from a pure lack of taste, the only possible excuse for Kurt's unfavorable review is that he is one of those sad, lonely old guys who attend a local tango night and are disappointed when Piazzolla is played because it's just too deep for practitioners of Tango For Dummies.This album is killing and I strongly recommend it to anyone who likes good music.P.S. Don't miss Adam's solo on the end of Tangonator!",
oh my - it must be hard to write such a bad story,"I purchased this book with great excitement after reading the Dante Club. This book has to be one of the worst stories ever written. The characters were flat and one dimensional, with unjustified motivations. The story was as interesting as watching the grass grow. I noticed a lot of people who liked the book were huge fans of the subject matter and said little about the attrributes of the book itself, that is because the book is a waste of time. Do yourself a favor - read the preview and see just how right I am.",
it's okay,"i really liked this cd, but some of the songs do get repetitive ( not that i mind, i'm the only person i no who can listen to the old ending theme for Inu-Yasha 20 times and not complain ) and some of my favorite songs on this track are:1. Having a Blast. this is a very good but strange song about a suicide bomber.2.Longview. one of the most original* songs on the cd.3.Sassafrass Roots. I no everyone hates this song. that's why i love it.4. Coming Clean. Really good beat and lyrics.5. In the End. I don't no why this is my favorite song. it just is.6. F.O.D. really good song. my friend can't stand the beginning and i couldn't either when i first got the cd.All in all, this is a really good cd. i mostly listen to this and blink 182 (the good old cds) if you like greenday, also check out sum 41, white stripes, weezer, and the strokes.",
BM8180-03E eco-drive is perfectly sized and comfortable,"I shopped till I dropped on the net and could not find a better deal on a eco-drive watch to play golf with. I wanted a lightweight, simple look without a chronograph, which I have no use for, and read the other reviews about the canvas band (not good with perspiration), so I ordered a silcone band and this watch is now my favorite. I wear it all the time! Its so comfy and lightweight! LOL",
Where is the game?,I recently read that the Maxis Development Team was moved from their current location to their new headquarters in ?Redmond?. They were having trouble getting back on the March 2004 Release Schedule due to the move and it appears that this is in fact true if now its been pushed back to June. I've been looking forward to this game since it was first announced. It's sad that it is postponed but I'd rather they release a full working project than to issue a buggy one then a ton of updates and fixes.,
Discolored (yellow) !!!,"I've bought Zico many times before from Whole Foods, and I don't remember it being yellow! I started a subscription of this as well as the larger bottles of Zico. The larger bottles came with clear water as I'm used to; however, every single one of these 11.2oz ones poured out yellow water. NOT NORMAL. I know they had a recall of many of shipments, but that is long over and this is not a recall item. It should be! I would say, stay away from Zico, or if you must drink, buy individually from the store instead of these cases! I am cancelling immediately...and would return this order too if I could!!! (Now I just get jokes in my office about how they'd rather not be 'healthy' like me if this is what it entails!!!)",
Highly Readabe,This scholarly and well-documented from original sources book is written in impeccable English by a dignified scholar.,
A Great Soundtrack,"I've had this record since the 1960's in LP format, and was eagerly awaiting its release in CD. The film, starring Harry Belafonte, Robert Ryan, Shelley Winters, Gloria Grahame (in a veery sexy role) a masterful portrait of an ex-cop by Ed Begley and directed by Robert Wise is an early thriller, filmed in B&W. The music, by MJQ director and pianist John Lewis makes a huge contribution to the movie. Even if you haven't seen the movie, this record stands alone as a powerful statement of jazz composition. This is no ""background music"", mind you. It includes the first recording of one of my favorites, Skating in Central Park, written in 3/4 waltz time, a lovely rendition of which can also be heard performed by Bill Evans and Jim Hall in their 1962 classic album, Undercurrent. Five Star material, definitely!",
Peter Berg is stunning!,"I first saw this film when I was in college, and since then I have seen few performances that outshined Peter Berg's. His character came through with the charm and innocence that was intented.Brilliant!",
great value,"We owned a plastic one which warped and stained. This was a great buy, totally worth the price.",
It S.T.I.N.K.S !!,IT is not very good value at all. IT broke in two days. I would suggest a different brand. IT S.T.I.N.K.S. !,
Clamps Didn't Hold Up,"I originally reviewed these clamps are being a good value but unfortunately must now recall that statement. Having only used this clamp a few times, when finally using the clamp in a scenario where higher clamping pressure was needed, the clamp broke.The plastic housing which holds the handle to help ratchet the mechanism split open when attempting to put moderate clamping pressure on two items. I used super glue to reassemble the item but these clamps can't exert any pressure at all when required.The spreader function works after using some effort but again, cannot exert any moderate pressure. A generic parallel clamp by Peachtree I had nearby was able to exert more than 300% more clamping pressure.",
very poor recording quality,"Even though there are 3 cds, the recording quality is not worth the money. It is unpleasant to listen to.",
Does nothing,"I got this to power my 12v Air Pump and it does not perform. I had to go out to my car to use the pump. The light turns on from this adapter but, when I turn on the pump, the light goes out but the pump doesnt work. No good to me.",
"If you love John Denver, get this album","I grew up listening and loving (still do) John Denver. This was one of my favorite albums. So happy to find it and share some of these songs, not on other albums, with my husband. I still miss you John, but your spirit still lives on in the music and message to this day.Thanks for having and selling this item. It is a prized possession. As a seller, you did an outstanding job and as a person, you put alot of joy back into my life.Thanks,Cheryl",
Arnica spray,If you have any pain I would suggest you purchase this product. I was not sure until the 1st time I used it. I have cut back on the use of my pain pills due to the use of the arnica spray (products)....gel works too.,
Merry Christmas,I was looking for something to put me in the mood and this book was just what I needed. So traditional. But I had a little trouble at first reading it ; however I picked it up fast and really enjoying it.,
LOVE THIS GAME,"We have played this game for several years in our family and love it!! My daughter became a nun this summer and this is what she I asked we get her and her new sisters for Christmas! Good, clean fun!! Great for memory and adding in the head!FAST SHIPPER",
"Not ""So Good"" as I expcected.","I was searching for this cd in music stores all over San Diego and when I finally got it and popped it into my cd player, I was sort of disappointed. I was excited to hear it because they worked with such talented people like Keith Martin. I'm sad to say the cd wasn't as good as I expected it to be. The vocals weren't so strong, the lyric weren't catchy...and it's a little to jazzy for my taste. They're isn't one song that I can say stands out as ""good"". In fact, I wouldn't even classify their ablum as R&B. If you are looking a really good R&B album by Pinoy/Pinay artists you should get Innerlude's ""Music Within,"" Pinay's ""Inevitable"", or One Voice's ""Just the Beginning""...those are truly good albums that you can listen to straight through without being disappointed! I'm sorry Epic Voices....you ladies sure do look good, but next time try working on the vocal a little more and change your format so that your songs will be more radio friendly and marketable.",
Stangely Odd or Caveat emptor,I find it strangely odd that everyone who gave this product a fantastic review:1. Has only ever reviewed one product on Amazon2. All seem to have been posted on the 24th.Caveat emptor.,
Armageddon Summer is on fire!,"Armageddon Summer, a novel by Jane Yolen & Bruce Coville, is a modern story about a cult-like group lead by Reverend Raymond Beelson and his followers, known as the Beelsonite Believers. Reverend Beelson prophesizes that the world will end July 27, 2000, in an Armageddon event that will destroy the earth except for 144 people, a sacred, superstitious number from scriptures. This is the only way that Jed, Marina and their families would survive the world ending in fire. They were roped into the group by their parents and wished they weren't. Soon after, their destiny crosses and they soon help to get the mad, eccentric people that believe what the Reverend has told them to a calm. The plot twists as the deadline grows closer and the story gets very exciting, and as a reader, I enjoyed that and this novel because it kept my attention. I would consider referring this book to a young adult that was interested in a science-fiction novel.",
This book was ridiculous,"The Good: This book is all good. Lynch as a flow about his writing that allows readers to flip through quickly and enjoy every bit. He is descritptive without being overbearing and the characters are enjoyable and have their own personalities. The ending is biting, brutal without being overly grotesque, and overall satsifying.The Bad: Throughout the book Lynch has included ""intermissions"" where the main story veers off and he examines a back story or historical footnote. This wasn't too bad but I found I was skipping past some pages because I was so enthralled by what was actually happening and cared less about the footnotes.The Ugly: F-bombs. There are a lot of f-bombs in this book. Personally I did not care but for someone who isn't ready for it, it can be a bit of a surprise. I actually think they added the necessary grit but others may not think so.The Verdict: If you don't mind the cursing, then read this book. You will not be let down.",
dreary,I started watching this and lost interest as season one went on. That's too bad because the production values are there for this to have been much better. It should have been much more captivating. Instead I just felt like I was being strung along as the writers made it all up as it went down hill.,
Brazen Virtue,I enjoy reading/listening to everything Nora Roberts does. I was not dissapointed with this book.,
Not My Favorite Book,"This book had the potential several times to be a really good read, but just when you think the plot line is going to pull together...it doesn't. There were so many loose ends and hanging threads. I was also disappointed in the choice of narrator for the audio version as she gave Samantha a bit of a pompous, too-old-for-her voice. Not my favorite Sophie Kinsella book.",
Flxible Twin Coaches - Pictorial History,Details in pictorial form the History and Evolution of the Flxibble Twin Coaches Transit buses of the second half of the Twentieth Century.A very varied selection of high quality photographs with consise histories of the vehicles in each photograph.Very essential reading for anybody interested in the Evolution of City Transit buses.,
Perfect for what I needed,"There's nothing fancy about this cable which was perfectly fine by me. It works perfectly fine and the price is just right. I would give it a full 5 stars except the shipping was more than the cable itself. This practice might be fine if it were in retail packaging but it's not, it's oem packaging so shipping is kinda high.Functionally, it's a single link dvi cable that works as you would expect. The cable did ship with the plastic covers over the connectors to protect the pins which was nice to see.",
Great software,Previously had Adobe Photoshop Elements(1.0) Paint Shop Pro 7 goes so far beyond PE!.I found ease of use to be roughly equal to PE. To use advanced features you will have to go through a learning curve. Until you want or need the advanced tools just use the automatic enhancement tools for digital images. You will get great results with simple enhacement.There are tons of step by step guides. Just Google and find anything you need.Paint Shop Pro 7 requires a fraction of the memory used by PE.The screen capture and antimation modules are icing on an already tasty cake.,
Search the help topics in Quickbooks instead,"Save yourself the money, this doesnt give any more insight than the quickbooks help pages.",
eye-opening biography,"I have listened to Marilyn Manson's music for three years now, and this book cleared up several misconceptions and ideas about Manson. The story presented in the book is very compelling. It is an easy read and is very entertaining.",
fits Britax b-ready with 2nd child seat,"Been looking for a travel bag for our Britax B-ready with the 2nd seat on the bottom.Take the back wheels and splash guards off (as well as the cup holder). It will fit (with both seats in) with plenty of room left. We mean to check it plane-side on a trip next week. I may add a few paddings (yes, room for paddings) and a luggage strap in side so the stroller doesn't come undone by accident. It's a near 40lb stroller, probably needs a fragile tag on it as well. I'll update the review after.(we got it from Buybuybaby with discount, but Amazon is still cheaper. We just need it soon, try it on and not worry about it)",
not big enough,i thought it was bigger but the kids enjoyed it. next time i want to have enough description about the product.,
Beautiful and Useful Book,"The illustrations are fresh, crisp and beautiful. The recipes are quick and easy and the ingredients are readily available. The metrics are in cups, spoons and grams, which I find useful. This book covers everything from hair care, cleansers, scrubs, masks, body oils, inner care (juicing), exercises, DIY manicure and pedicure, bathing herbs and minerals and organic fragrances.",
kumquat,This Zing fits my Canon 50 mm macro lens. Good protection for any small lens. Highly recommend this item.,
Ordinary script/un-ordinary performances!,"A neat little flick about family loyalty and betrayal;sacrifice and redemption. Strong supporting roles by John Hurt and Ray Winstone breath fire into an otherwise ordinary revenge tale.Guy Pearce shakes hands with the Devil [Winstone-""Capt. Stanley""] and sacrifices one brother to save another.That's about it? This movie is not ordinary! I lied-Shoot me.This movie reminded me of 2 others that Winstone and Pearce starred in [seperate movies,""""leads]: one was-""Ravenous""[3-1/2 stars] which Guy Pearce starred in along-side Robert Carlyle [Carlyle can,when the role-calls,""act"" strange].That movie was a mix of cannibalism and vampirism. WOW! The second movie,one of many I might add,that Winstone shined in,is called,""Sexy Beast""[4****]. Ian McShane [DeadWood] and Ben Kingsley ride neck-to-neck,crazilly alongside-with him;in that movie. Ben Kingsley got an oscar. I give The Proposition 3 1/2 STARS. Thanks for listening.",
Trash,Stupid protestant false stuff! There is no such thing as a pre-trib rapture! Thank God I'm Catholic!!!!Rapture will be AFTER the trib. not before!,
"What can I say, if you don't already have it, Do so.","This ""Collectors Pack"" is great for those that have not yet had the chance to play Doom. It includes Ultimate Doom (Doom 1 and an aditional mission) Doom 2 and Final Doom. All 3 games for less than 20 bucks! Thats a great deal, Doom is one of the best games of all time and those who haven't had the chance to play it at all can get all 3 games in this bundle and see what you're missing. Sure, they're ""old games"" but the thing about Doom is, to me, even today the games seem fresh when I pop them in and play them, they're definatly worth it. Check it out, if you like first person shooters like Quake, or Half Life then you're gonna love Doom.",
Blah blah blah.,This book could be reduced by half & still tell the story decently. At one point there are 60+pages of preaching and retelling the anthems from the series. Felt like a bored grade-schooler waiting for the end of the school year to finally #@!!# learn something new. Not sure if it's worth the wait anymore.,
Great Jig!!,I hesitated to buy this jig due to another review but ended up buying it anyway. I saw the mounting area he was talking about and it's no thinner then the original base plate but with all the extra weight hanging from the side it could stand to be a little thicker. I had no problems connecting my Dewalt router to the jig and the accuracy of the jig is great. For what this jig cost buy it!,
Your kids will never want to put this book down!,"I bought this book as a Xmas gift for the kid that I babysit. He had read it before from his school , but he wanted to have his own copy. I'm guilty because I read all his comic books. When he sees something funny , he always share it with me and we both have a good laugh.",
An affirmation of personal happiness potential.,"I so enjoyed reading this book and have always felt that the Dalai Lama is ""on"" in terms of how to lead a happy existence. It provides wonderful gems in the form of the thoughts and practices that are within us but we tend to forget and a timely reminder is always for the better. The wonderful book of quotations ""Timeless Wisdom: Illuminating thoughts on the art of living"" includes thoughts from the Dalai Lama as well as hundreds of other masters and is an ideal partner for this type of book!",
used to think harbinger made quality products,"I bought these gloves because I currently have some of the big grip gloves with wrist strap, and wanted gloves that would be more flexible. The first day I used these gloves one of the grips started becoming unstitched! The pad was halfway off the first day of training in less than 30 minutes! I am also not impressed with harbinger since the last time I bought the ""top of the line"" big grip gloves, within the first couple weeks the seam stitches were coming undone on the right hand glove. However they do make comfortable and very intuitive gloves, but lack quality construction.",
Enjoyable,"I enjoyed seeing Lanita's life come full circle. In my opinion, Ms Butler did a nice job of illustrating the strength and intrinsic motivation of the African American woman. Lanita was faced with several obstacles and disappointments that led her life in so many different directions, but she didn't let that stop her. Lanita was a good person who made good and bad choices, but she seemed to make choices out of love. This novel was a great trip down memory lane as well. I'm several years younger than Lanita and this novel gave me details about several events in our history that I hadn't known previously. Even though I got a slow start, I ended up really enjoying the book. I'd recommend it to others.",
cheesy,"Trite, contrived and written in a style popular on message boards all over the internet. This is even worse than that Dave Barry Does Japan fiasco. I was glad I had access to a copy prior to purchase. I'd rather not have any more money go towards this drivel.I've lived in Japan for a number of years myself. The author does a fair job of exploiting a number of stereotypes, both in practice and in writing - think about it.... If you're into that sort of thing, then maybe this is for you.",
The rating scale does not go low enough,"The rating scale does not go low enough, so I gave it 1 star. Vocals are horrible! I read someone else comment that she did not authorize the release of this CD. So? What's the point? The fact is, This is Shania's actual non-enhanced voice. Save yourself some money and pass on this one. If you want a recording of bad vocals go to your local elementary school and tape the school recital.",
Absolute Crap,"This sounds like a bowel movement. Cheesy, simplistic, unimaginative crap.I sit my beer on it. It's not even a good coaster.",
"Poorly written, predictable ending, derivative plot - skip it!","Losing Gemma starts out with a good premise - what happens if you go to India with your best friend, then come back without her? But that was where the suspense died. The pace of the book was off, the characters were cardboard cut-outs and Esther, the main character, was annoying and unbelievable. But the main thing I find truly surprising was how flat and dull Gardner made India seem. I also doubt very much if she's spent much (or any?) time there, as it read to me as though she had simply picked up a few colorful descriptions from a DVD on travelling in India.I would have loved to have given it a couple of stars at least, as the plot idea was original, but nothing about the book brought that originality to light. Pity.",
Not What I Expected,"I ordered these gauchos as I enjoyed the thought of convenience and comfort and style for office attire. When I tried these on, they looked like stove pipes below my shins. I decided that as I am only 5' 2"", the only way I can buy gauchos is to physically try on each and every pair as they are made so diffently with no consistantcy in length or width. These were just not for me, I returned them immediately.",
Great Product,I have not had any problems with this product. I get great photo's with no jams and the ink and paper come out even ever time.,
Life Changer,"This stuff is amazing! I feel so much more comfortable in my skin now than I have before. I wish I had found this product sooner. I used to use a facial cleaner that contained Sodium Laureth Sulfate as a main ingredient, but it gave me tight and dry skin at times. When I researched it, I found that this main ingredient is actually a cheap chemical detergent that strips the skin of everything it touches, including its own natural moisture and sebum levels. Well, this product by Philosophy does not have this ingredient and I think that is its main asset. Also it has some other ingredients that are very nice as well, including rosewood oil and sandalwood oil. It leaves my skin moisturized and clean and it almost has a glow to it. Also it leaves behind a very faint, but fresh scent which I like. It is sort of sweet and almost smells like a verbena. All in all this is a fantastic facial wash that I wish I had found sooner! Thank you!",
Problem unit,"I purchasted this unit to use in a small aircraft that has no built in battery monitor.The unit failed within one hour of use.It was too cheap to bother to send back so I took it apart.I found two loose screws holding the circuit board and display in place and a bad solder joint.I repaired the solder joint and tightened the screws and the unit has been working fine ever since.Unless you are an Electronic Engineer like me I would not recomend this unit.Strangely enough, the internal components appeared to be high guality.It was not assembled correctly.It's OK if it works.",
Good Mafia-Hollywood crime drama,"Another engrossing Mafia fiction from Puzo. Perfect for a flight from Philly to Dallas. It grabbed me from the first chapter and kept me going. The tales of Pippi De Lena and his son Cross and their efforts to co-exist with their uncle the Last Don of the title, and head of the Clericuzo crime family made for a fascinating family drama. I had already seen the mini series awhile back so the story was vaguely familiar to me. A definite 4 stars.",
Super!,"Wow, I loved this book. This was my first read from this author and am very pleased. Look forward to the others.",
I bought it for a kid...but,"Kids have fun with it, but only for a few moments. the darts don't stick and bounces off really easily.but it is a safe product for children.",
Counter-response to misled last 'reviewer',"Friend, the issue is not the sincerity of Mr. Pinnock. I believe he is most sincere. The issue is that he is sincerely wrong. Misled. Scripturally Self-deceived. Erroneous. Fallacious. Heterodox. Aberrant in theology. Mormonistic in doctrinal leanings (God somehow 'embodied'??? Actualizing his temporal nature???? Processism???) OOPS.Back to the Bible, Friend. Would that Mr. Pinnock would try again without the Book of Mormon this time.",
The joan Crawford collection,I recommend this to every one who loves the old movies.But there was one only in this pack that l really didn't like.Arrived quickly and great packaging.,
A book? Yeah right!,"That's exactly what I thought when I stumbled upon mention of this book online. I had tried tapering off, wearing the patch, even prescription pills. If neurological drugs couldn't break this addiction, there's no way reading a book could. But it did. I'm thirty one and I had smoked for twenty years, since I was eleven. I have been smoke-free for over a month, for the first time since entering junior high. I recommend this book to everyone. It costs way less than a bottle of pills, or a box of patches or nicotine gum, and from what I've read, and lived, it's got a better success rate too. Why pay some shrink to tell you this stuff under hypnosis when you can read it on your own?",
terrible,"This stuff is awful, over salted and terribly flavored. I'm throwing it away. Maybe a landfill could use it.",
nice,"the item is not the most common, worked great with a very light mod with the grinder. you cant beat this system for being versatile with all the different arbors to choose from.",
should we start rounding up Catholics?,"I understand that once an author completes a work, it's not his anymore: we can bring whatever we want to it, and take whatever we want from it. Having said that, I still think this movie is a travesty--an anti-Catholic diatribe that even a lapsed Catholic like me found disturbing. It almost made me want to start attending mass again. Almost. Believe me, when Charles Ryder's widowed father becomes the only breath of fresh air, you know the movie has problems. Yes, I was spoiled by the serialized version of the eighties, but I was also spoiled by reading the book--something that the creators of this film apparently chose not to do.",
Don't wast your time,"Like the previous (& superior film starring Rod Taylor -also an Australian), this film only partly follows the excellent H G Wells book. Only in this film a large chunk is devoted to a pre-story trying to explain why Guy Pearce invents the time machine in the first place.This film has many stupid plot twists - why would a cannibalistic Morlock let Guy Pearce walk away (instead of eating him perhaps)?Even the star, Guy Pearce said that this film is terrible.",
Male Danielle Steele,"Sappy, shallow romance written by a male. Danielle Steet fans should love this new offering by Nicholas Sparks. Fans who enjoyed earlier works by Sparks may be sadly disappointed, as I was.",
sadly disappointed,Had great reviews and I just don't get it ! It seems to just smear grease around and a lot of work in my opinion. Expensive and a dry majik cloth worked so much better for me.,
Too basic,This book is definately for the beginner and was of no use to me. I have only been working as an importer for about a year and found the book useless. I would recommend it only for the novice. If you have any experience at all you have already heard this information.,
Wish this Guide was more comprehensive,"It is not clear in the description of this book that only a relatively small sample of Hot Wheels are featured and the only values listed are for ""mint packaged vehicles"". Because of these limitations, this book was of little value to me.",
Title doesn't match contents of book,It is a very basic explanation of lotus notes and how could you use it with bapi's plus a list of all the bapis available in the system.... a total waiste of money,
Familiar actors acting great,"Good western to watch alone or in a group. I bought it to give away as a present, and it was well received.",
Best bio ever written of Pepys,"This one is and I've read them all. Tomalin chooses diary excerpts brilliantly, tying together a picture of the man in his own words that captures the spirit of the diary and other materials (letters and so on) perfectly. Then she wraps it all into the context of the fascinating times in which Pepys lived and gives us rich introductions to those who shared his life and world. This book is a MUST READ for anyone who likes Pepys. Anyone who doesn't know Pepys will run right out and buy the 11-volume version of the diary after reading this book.",
Follow the bouncing ball,"I was once a huge fan of the Scarpetta books, until all of the main characters just became more and more unhappy. But this book has an even bigger problem. It bounces from one character to another, from place to place, back and forth, and is almost impossible to follow. And then the end is too simplistic and doesn't answer all of the questions raised.I'm really glad I borrowed the book from the library, in lieu of paying for it.",
Lame,The first 2 books in the trilogy were interesting and fun to read. This third one is a sorry attempt to carry on a series that in reality ended after the second book.,
Just plain bizarre,"Judging by the very divided reviews, there is a wide range of opinion on this movie. For myself, I couldn't get through all of it. I just found it too bizarre for my taste. I caught it one evening on the IFC channel, but didn't bother watching all of it.",
Works wonders,Made our jetski (13 years old) look like new!! Was not too hard to apply and was definitely worth the results.,
Who is the rapper,The CD has some good songs thats the only reason I give it two stars. the rapper or DJ(and I'm thinking this is the same guy on some of the other tracks) as some would call him is trying too hard to sound caribbean so he sounds fake. especially the first track come on now. maybe if he just did it normal and not try so hard to have a caribbean accent it would have been better.,
Compelling Film,Reds is a beautiful film about interesting people during a critical time in history. Acting is stellar. Totally absorbing. One of my top ten favorite films.,
Terrible Book,This is one of the worst books I have read in many years. The reviews that say it is good must be hype. Don't even think you will enjoy any of the book except for the small part on code breaking. The rest of the novel is childish and poorly written.,
WORST FREAKING BOOK I HAVE EVER READ IN MY WHOLE ENTIRE LIFE,"OK, so she's ""Christian"" (because she says so in EVERY OTHER LINE, OR MAYBE EVERY LINE.) But honestly, if the authors wanted to ""spread their faith"" or whatever, they failed. They actually trashed the religion. No way a real Christian acts like her. ""OMG I LOVE HIM BC HE'S CHRISTIAN"" and you know what? he was a total JERK and so was she. So cheers to the worst book I have ever read in my life. Oh yeah, don't buy it. It sucks. I can't believe the publishers agreed to publish this.",
Could Final Fantasy have reached perfection?,"This game is what I consider the best game in the series, with more movie like qaulities, some of the best music in any video game I've seen, and a more advanced way of leveling up. Some may say that the new features betray the classic trademarks of the series, but I think that the changes in the game are what makes this series keep it's freshness and uniqueness over all others. If you can afford to buy this game get it right away, otherwise rent it at your local video store for as long as possible.",
the guiltiest of pleasures,"While Fever is the album that has finally broken Kylie in North America, this previous set is in fact a far more infectious, highly camp and totally satisfying FUN album. Light Years combines all of the best elements of 70s disco-pop wrapped up in state of the art production, lyrics that are disposable (without being insulting), irresistible beats and a completely winning sense of humour. Imagine the perfect soundtrack to a cocktail/disco/pool party and you have it. I still return to this album when getting ready for a night on the town - there's none better.",
Beethoven himself would be proud.,"This is a masterpiece. Don't listen to the one negative review, as this guy is tone deaf. This compilation of Beethoven's music is a treasure to behold. A bargain at twice the price, this is well worth the money. Excellent! Excellent! Excellent!",
Season 3 Part 2,"For reason instead of releasing TMNT Season 3 in one complete set, LionGates released it in four volumes (3-6). Probably because there were 47 episodes that aired during the 1989 season.The episodes on this single disc volume are:The Ninja Sword of Nowhere20,000 Leaks Under the SeaTake Me to Your LeaderFour MusketurtlesTurtles, Turtles EverywhereCowabunga ShredheadInvasion of the Turtle SnatchersCamera BuggedGreen with JealousyReturn of the FlyCasey JonesMutagen MonsterIn Volume 4 we finally get the introduction of Casey Jones, who was only in a handful of episodes, and Baxter Stockman returns.This is another great volume to own.",
unreliable!!!,"from purchase the flash only worked on ""special"" settings!! had to send in for repair. within 3 months the lens worked only intermitently. within 2yrs it was dead!!!",
Great to dance to,"My daughter loves to dance around to this cd. She is only 18 months, but she loves when we play this CD. She even spins to song #3.",
good but now as good as scary movie,"First off, let me say that this movie was very funny. Not as funny as it could have been, but very funny none-the-less. It had a good plot and some of the jokes were original, and smart. If you like Airplane or Hot Shots, you will love this movie. If you like a funny, but not a leaveyourbrainatthedoor funny, try scary movie. To me, Scary Movie was better. Probably because ""Shriek..."" was made for tv while Scary Movie was made for theaters. Go out and get it, you will not be dissapointed.",
"Strong, not afraid to be complicated","I don't think I've ever read a novel where my opinions of the characters changed so much in the course of the book. That's a good sign - no one in this story is one-dimensional. Franzen has no problem with digression, which provides some of the strength of characterization. His people will take a page or two at any time to go on about things that are really important to them (nostalgia for punk and new wave music, for example, or how it feels to want to buy clothes that you see worn by the kind of people you can't stand.) Even the least important characters get filled in. His plotting is, in the end, a bit weaker, but still serves. Highly recommended - and just where are the novels since this one?",
WHERE IZ IT????????????????????????????,"I ORDERED THIS CD 2 MONTHS AGO. AFTER SEVERAL DELAY NOTIFICATIONS, NOW THE ESTIMATED DELIVERY DATES ARE 3/22-4/9. WHEN I GET IT, I'LL LET YOU KNOW.",
Great book,This book list al of the game!all items in ac:ww and lots and lots more!i really recommended to buy this book,
Love It!,"Both myself and my children love this CD. Songs are very soft and soothing. My son listened to it every night from 19 months (when it first came out) to 3 1/2 years old, my daughter loved it as well. Now we are getting it for our newest member!",
